,MINE_ID,CURRENT_MINE_NAME,COAL_METAL_IND,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,CURRENT_CONTROLLER_ID,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_ID,CURRENT_OPERATOR_NAME,STATE,BOM_STATE_CD,FIPS_CNTY_CD,FIPS_CNTY_NM,CONG_DIST_CD,COMPANY_TYPE,CURRENT_CONTROLLER_BEGIN_DT,DISTRICT,OFFICE_CD,OFFICE_NAME,ASSESS_CTRL_NO,PRIMARY_SIC_CD,PRIMARY_SIC,PRIMARY_SIC_CD_1,PRIMARY_SIC_CD_SFX,SECONDARY_SIC_CD,SECONDARY_SIC,SECONDARY_SIC_CD_1,SECONDARY_SIC_CD_SFX,PRIMARY_CANVASS_CD,PRIMARY_CANVASS,SECONDARY_CANVASS_CD,SECONDARY_CANVASS,CURRENT_103I,CURRENT_103I_DT,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,LONGITUDE,LATITUDE,AVG_MINE_HEIGHT,MINE_GAS_CATEGORY_CD,METHANE_LIBERATION,NO_PRODUCING_PITS,NO_NONPRODUCING_PITS,NO_TAILING_PONDS,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS,MINERS_REP_IND,SAFETY_COMMITTEE_IND,MILES_FROM_OFFICE,DIRECTIONS_TO_MINE,NEAREST_TOWN
1890,102918,Har Gal Mining,M,Surface,Abandoned,10/23/2012,M34037,Terrence  Gallagher,L34037,Har Gal Mining Partnership,AL,1,29,Cleburne,3.0,Partnership,06/01/1991,M3,M3661,Birmingham AL Field Office,000283611,104100.0,Gold Ore,1041.0,0.0,109905.0,Platinum Group Ore,1099.0,5.0,8.0,Metal,8.0,Metal,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,85.463888,33.923611,,,,,,0.0,N,N,N,N,N,83,Take I-65N to Gadsden Exit 182 to I-759-Left on George Wallace Dr. - Right on Meighan Blvd - Left on Piedmont Cutoff - Left on Vigo Rd. - Right on CR 230- Right on CR 49 - Dirt road on left. Mailbox 37270 CR 49.,Piedmont
2400,103447,10:16/Roeser Mine,M,Surface,Abandoned,02/01/2012,0102979,Roy Douglas  Pugh; William B  Cashion,0121092,10:16 Mining Corporation,AL,1,21,Chilton,,Corporation,01/26/2012,M3,M3661,Birmingham AL Field Office,000291699,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,86.52,32.782777,,,,,,0.0,N,N,N,N,N,70,"I-65S to Exit 200, left toward Verbena, go approx. 2 miles, the right on Hwy. 31S. Go approx. 1.5 - 2 miles, then left on CR23; .8 mile to left on CR 530; 2.3 miles, left at Y; .7 miles left at Y; .6 miles mine entrance on right. Office approx. .3 miles on right.",Verbena
2410,103458,"Southern USA Resources, Inc.",M,Surface,Abandoned,04/15/2013,0109321,Charles H.  Merchant,0128554,Southern USA Resources,AL,1,27,Clay,,Corporation,02/20/2013,M3,M3661,Birmingham AL Field Office,000326031,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,Never Had 103I Status,,N,,0,0.0,0.0,0.0,0.0,N,85.869166,33.315833000000005,,,,,,0.0,N,N,N,N,N,80,"Hwy. 280E. to Hwy. 21N in Sylacauga, Turn right on Hwy. 148 (3rd St.) follow to Hwy. 9, turn left.  In Ashland turn left on CR. 31 North, go approx. 4 miles, turn left on Mountian View Rd. Go .9 miles turn left on Dirt Rd. Mine at end.","Ashland, AL"
2670,201470,Black Diamond Mill,M,Facility,Abandoned,02/23/1983,M02906,Cordyne Corp,L03620,Cema,AZ,2,3,Cochise,5.0,Other,08/01/1979,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2673,201487,Old Eagle (Mine),M,Underground,Abandoned,07/29/1980,M30473,Arizona Mines Development Inc & Arizona Western Mi,L30473,Arizona Mines Development Inc,AZ,2,21,Pinal,2.0,Other,01/01/1950,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2680,201517,P And J Mine,M,Surface,Abandoned,08/08/1978,M36992,P & J Mining Company,L36992,P & J Mining Company,AZ,2,13,Maricopa,1.0,Other,01/01/1950,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2706,201628,Cave Mine,M,Underground,Abandoned,09/13/1978,M33676,Gold Cave Mining & Development Co,L33676,Gold Cave Mining & Development Co,AZ,2,3,Cochise,5.0,Other,01/01/1950,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2709,201633,Hillside Mine,M,Surface,Abandoned,02/27/1980,M34275,Hillside Mining Company,L34275,Hillside Mining Company,AZ,2,13,Maricopa,1.0,Other,01/01/1950,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2726,201705,Swastica Mine,M,Surface,Abandoned,11/15/1979,M34488,Index Mining Ltd,L34488,Index Mining Ltd,AZ,2,25,Yavapai,3.0,Other,01/01/1950,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2733,201734,Congress Consolidated Gold Mining Corp L,M,Surface,Abandoned,05/13/1982,M04717,O Connor Wm J,L03272,Congress Consolidated Gold Mining Corp Ltd,AZ,2,25,Yavapai,3.0,Other,01/01/1950,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2742,201756,Fayro No 1,M,Surface,Abandoned,04/30/1980,M33196,Roberts Paul L,L33196,Fayro Mining Company,AZ,2,15,Mohave,3.0,Other,01/01/1950,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2764,201810,Lost Basin Mine,M,Surface,Abandoned,03/27/1980,M35722,Lost Basin Management Company,L35722,Lost Basin Management Company,AZ,2,15,Mohave,3.0,Other,01/01/1950,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2787,201855,Pope Mine,M,Surface,Abandoned,02/01/1979,M03591,Scarth Robert W,L04456,Pope Mining Inc,AZ,2,15,Mohave,3.0,Other,01/01/1950,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2797,201866,Jack Pot Mill,M,Facility,Abandoned,03/22/1979,M02643,Burt Leon,L03294,L & B Partners,AZ,2,27,Yuma,2.0,Other,05/17/1979,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2805,201874,Goldfield Mine,M,Surface,Abandoned,10/20/1982,M03634,Sanstead Harlow E,L05753,Triple S Mining Company,AZ,2,13,Maricopa,1.0,Other,02/17/1982,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2806,201875,Golden Condor,M,Surface,Abandoned,01/29/1985,M07795,Frank  Magini,L34600,J F Mining,AZ,2,12,La Paz,3.0,Other,03/09/1978,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2819,201889,Mitchells Place,M,Surface,Abandoned,03/22/1979,M02643,Burt Leon,L05827,Leon Burt Inc,AZ,2,27,Yuma,2.0,Other,03/09/1978,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2832,201902,Soccoro Reef Mine,M,Surface,Abandoned,06/15/1979,M35001,Jordan Industries Inc,L35001,Jordan Industries Inc,AZ,2,27,Yuma,2.0,Other,01/01/1979,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2833,201903,Ida,M,Underground,Abandoned,09/10/1981,M03263,Crain Quincy R,L04069,Quincy R Crain,AZ,2,15,Mohave,3.0,Other,04/01/1980,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2837,201907,Victoria Mine,M,Underground,Abandoned,06/15/1981,M36361,Minopco Inc,L36361,Minopco Inc,AZ,2,15,Mohave,3.0,Other,01/01/1979,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2839,201909,Mystic Gold Mine,M,Underground,Abandoned,03/05/1979,M36582,Mystic Gold Inc,L36582,Mystic Gold Inc,AZ,2,13,Maricopa,1.0,Other,01/01/1979,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2842,201912,Quartzsite Mine,M,Surface,Abandoned,06/22/1983,M03027,Dewit Rudy,L02123,Quartzsite Mining Company,AZ,2,27,Yuma,2.0,Other,03/18/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2844,201914,Peters Mine,M,Underground,Abandoned,11/21/1979,M37201,Peters Mining Company,L37201,Peters Mining Company,AZ,2,25,Yavapai,3.0,Other,01/01/1979,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2885,201955,Gold Button Mine,M,Surface,Abandoned,03/02/1981,M33674,Gold Button Inc,L33674,Gold Button Inc,AZ,2,25,Yavapai,3.0,Other,11/01/1979,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2892,201962,Savoy Mine,M,Underground,Abandoned,12/11/1981,M04636,Frank  Montonati,L05733,M C O,AZ,2,25,Yavapai,3.0,Other,12/01/1979,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2895,201965,Big Bug Mines,M,Surface,Abandoned,06/30/1981,M30960,La Prade A T,L30960,Big Bug Mines Inc,AZ,2,25,Yavapai,3.0,Other,01/01/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2896,201966,Hart & Associate Mine,M,Surface,Abandoned,08/14/1980,M33931,Hart Dale W & John H,L33931,H & H Associates,AZ,2,15,Mohave,3.0,Other,02/01/1980,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2898,201968,Yuma Gold,M,Surface,Abandoned,08/20/1980,M40433,Yuma Gold Inc,L40433,Yuma Gold Inc,AZ,2,27,Yuma,2.0,Other,02/01/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2910,201980,Speed Leach Mill #1,M,Facility,Abandoned,03/27/1981,M34613,Bisel Charlie,L34613,J & C Mining Company,AZ,2,25,Yavapai,3.0,Other,04/01/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2914,201984,Clark-Oliver #8,M,Surface,Abandoned,01/26/1981,M03336,Clark Frank H,L04152,Clark-Oliver Mining Company Inc,AZ,2,21,Pinal,2.0,Other,05/01/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2917,201987,Lead Bullet,M,Underground,Abandoned,06/03/1982,M04675,Buckway R Dix,L05782,Geneva Mines Ltd,AZ,2,15,Mohave,3.0,Other,03/04/1982,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2919,201989,Silver Cross Mine,M,Surface,Abandoned,10/18/1988,M30333,Martin Charles,L30333,Amca Industries Inc,AZ,2,13,Maricopa,1.0,Other,06/01/1980,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2921,201991,Alvarado Mine,M,Underground,Abandoned,03/24/1981,M03591,Scarth Robert W,L04456,Pope Mining Inc,AZ,2,25,Yavapai,3.0,Other,06/01/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2922,201992,Tyro,M,Surface,Abandoned,04/29/1985,M03848,Hansen Wilbur,L04762,Gold Standard Mines Inc,AZ,2,15,Mohave,3.0,Other,03/24/1981,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2923,201993,R MOUNTAIN MINE,M,Underground,Abandoned,01/27/1998,M11677,Wilkins Dewey,L15311,Wilkins Exploration & Development Company,AZ,2,11,Greenlee,6.0,Other,06/01/1980,M6,M6862,Mesa South AZ Field Office,020199305502,104100.0,Gold Ore,1041.0,0.0,104400.0,Silver Ore,1044.0,0.0,8.0,Metal,8.0,Metal,Never Had 103I Status,,N,,5,8.0,1.0,,0.0,N,,,,,,,,,N,N,N,N,N,200,,
2924,201994,Golden Rule #4,M,Surface,Abandoned,04/13/1982,M31204,Brant Robert A Jr,L31204,Brant Mining Company Inc,AZ,2,15,Mohave,3.0,Other,07/01/1980,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2925,201995,Meadview Claims,M,Surface,Abandoned,06/15/1981,M35026,Joshua Mining Company,L35026,Joshua Mining Company,AZ,2,15,Mohave,3.0,Other,06/01/1980,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2926,201996,Little Pan Mine,M,Surface,Abandoned,04/09/1981,M30474,Willis Billy R Sr,L30474,Arizona Mining Associates,AZ,2,25,Yavapai,3.0,Other,07/01/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2929,201999,Sunrise Mine,M,Underground,Abandoned,02/11/1983,M04783,Williams Lonnie,L05958,United Consolidated Mines Inc,AZ,2,13,Maricopa,1.0,Other,08/26/1982,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2932,202002,Midnight Group,M,Surface,Abandoned,12/01/1981,M32085,Back Jimmy L,L32085,Continental Mining Consultant Inc,AZ,2,15,Mohave,3.0,Other,07/01/1980,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2938,202008,Grubestake Mine & Milling,M,Underground,Abandoned,09/30/1982,M33882,Frye John,L33882,Grubestake Mine Development Company,AZ,2,23,Santa Cruz,2.0,Other,07/01/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2939,202009,Crown King,M,Surface,Abandoned,08/09/1983,M04733,Fillman William,L05878,Dore Metals & Mining Corp,AZ,2,25,Yavapai,3.0,Corporation,01/01/1982,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2940,202010,Octave Mine,M,Surface,Abandoned,02/22/1983,M31492,De Christina Gary,L31492,Calgrey Inc,AZ,2,25,Yavapai,3.0,Other,09/01/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2942,202012,New Jupiter,M,Surface,Abandoned,06/12/1981,M30424,Johnson Robert-William Ball,L30424,Apache International Mining,AZ,2,19,Pima,2.0,Other,09/01/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2946,202016,Springgold Mining & Milling Incorporated,M,Surface,Abandoned,07/21/1983,M38677,Springgold Mining & Milling Inc,L38677,Springgold Mining & Milling Inc,AZ,2,15,Mohave,3.0,Other,10/01/1980,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2949,202019,Golden Wonder,M,Facility,Abandoned,03/15/1984,M30025,Richey L M-Don Adams,L30025,85 Venture,AZ,2,7,Gila,6.0,Other,11/01/1980,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2950,202020,Horseshoe Bar Mine,M,Surface,Abandoned,06/03/1981,M32632,Dicus Wilbur A,L32632,Dmex International,AZ,2,25,Yavapai,3.0,Other,11/01/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2953,202023,Tuttle Mines,M,Surface,Abandoned,04/21/1981,M39666,Tuttle Mines,L39666,Tuttle Mines,AZ,2,27,Yuma,2.0,Other,11/01/1980,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2956,202026,Houston-Kingman Mine,M,Surface,Abandoned,03/02/1983,M03003,Toporowski Robert-Jim Beres,L04859,Houston-Kingman Mine,AZ,2,15,Mohave,3.0,Other,12/01/1980,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2958,202028,Boston & Arizona,M,Facility,Abandoned,10/07/1981,M05450,Lichtenstein Immanuel,L06835,Bauer Metals Inc,AZ,2,3,Cochise,5.0,Other,12/01/1980,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2959,202029,Yankee Dollar Mine,M,Underground,Abandoned,08/27/1981,M36707,Johnson Robert,L36707,Nicky Brite Mines Inc,AZ,2,7,Gila,6.0,Other,01/01/1981,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2960,202030,Clementine Mine,M,Facility,Abandoned,02/22/1983,M32122,Copper Lake Explorations Ltd,L32122,Copper Lake Explorations Inc,AZ,2,13,Maricopa,1.0,Other,01/01/1981,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2961,202031,Sunchief Mine,M,Facility,Abandoned,11/05/1982,M04651,Richard  Neslund,L05752,Sunchief Mines,AZ,2,7,Gila,6.0,Other,03/01/1981,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2966,202036,Antelope Placer Mine,M,Surface,Abandoned,05/28/1982,M37390,Proaz Resources Corp,L37390,Proaz Resources Corp,AZ,2,25,Yavapai,3.0,Corporation,04/01/1981,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2967,202037,Little Nugget,M,Surface,Abandoned,02/14/1985,M04063,Deborah D  McGee,L05032,Paradise Mines Inc,AZ,2,21,Pinal,2.0,Other,04/01/1981,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2968,202038,Sugarloaf,M,Surface,Abandoned,03/24/1983,M02906,Cordyne Corp,L05504,Chemrex Inc,AZ,2,3,Cochise,5.0,Other,03/01/1981,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2969,202039,Yarnell #1,M,Surface,Abandoned,05/28/1982,M34735,Jade Mining Company Inc,L34735,Jade Mining Company Inc,AZ,2,25,Yavapai,3.0,Other,05/01/1981,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2970,202040,Charlie D,M,Surface,Abandoned,02/02/1982,M40404,Yarnell No 1 Inc,L40404,Yarnell No 1 Inc,AZ,2,7,Gila,6.0,Other,05/01/1981,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2971,202041,Henrietta Group Of Mines,M,Underground,Abandoned,12/11/1981,M32187,Crandall R B,L32187,Crandall Et Al,AZ,2,25,Yavapai,3.0,Other,05/01/1981,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2972,202042,Kell-Webb,M,Surface,Abandoned,02/10/1983,M04756,Worldwide Minerals Ltd,L05904,Worldwide Mineral Inc,AZ,2,25,Yavapai,3.0,Other,07/12/1982,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2976,202046,Pay Dirt,M,Surface,Abandoned,08/03/1984,M34932,Clay John O,L34932,John O Clay Exploration Inc,AZ,2,13,Maricopa,1.0,Other,05/01/1981,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2977,202047,J & B Mine,M,Surface,Abandoned,03/03/1983,M34612,Mc Mahon Peter J,L34612,J & B Mining Company Inc,AZ,2,27,Yuma,2.0,Other,07/01/1981,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2978,202048,Chakaverde Mining Company,M,Surface,Abandoned,01/20/1983,M31690,Baker Robert,L31690,Chakaverde Mining Company,AZ,2,21,Pinal,2.0,Other,05/01/1981,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2981,202051,Golden Door Project (Dixie Queen Mill),M,Surface,Abandoned,09/23/1982,M04386,Trv Minerals Corp,L05428,Trv Minerals Corp,AZ,2,15,Mohave,3.0,Corporation,08/01/1981,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2982,202052,Zulu Mine,M,Surface,Abandoned,03/13/1984,M40452,Zulu Mining Company,L40452,Zulu Mining Company,AZ,2,7,Gila,6.0,Other,08/01/1981,M6,M6862,Mesa South AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2986,202056,Golden Hillside,M,Surface,Abandoned,10/20/1982,M38128,Sharma Sam,L38128,S S International Trade Inc,AZ,2,21,Pinal,2.0,Other,09/01/1981,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2987,202057,Golconda,M,Surface,Abandoned,08/25/1983,M37728,Resource Partners Ltd,L37728,Resource Partners Ltd,AZ,2,15,Mohave,3.0,Other,09/01/1981,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2989,202059,Boaz Mine,M,Surface,Abandoned,10/14/1982,M10691,Boaz Mining Inc,L13991,Boaz Mining Inc,AZ,2,25,Yavapai,3.0,Other,06/17/1981,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
2990,202060,California Millsite,M,Surface,Abandoned,01/25/1985,M39847,Dale Vernon B,L39847,Vernon B Dale,AZ,2,23,Santa Cruz,2.0,Other,07/25/1981,M6,M6861,Mesa North AZ Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
